Join_ID,Province,Amphoe,Tambon,lat,lon,Total_Pop,Avg_Income,Avg_Land_Price,Year
100101,กรุงเทพมหานคร,เขต พระนคร,แขวง พระบรมมหาราชวัง,13.751,100.492,4271,45571.7,44711.36453888586,2558
100102,กรุงเทพมหานคร,เขต พระนคร,แขวง วังบูรพาภิรมย์,13.744,100.499,11677,45571.7,44711.36453888586,2558
100103,กรุงเทพมหานคร,เขต พระนคร,แขวง วัดราชบพิธ,13.75,100.499,3494,45571.7,44711.36453888586,2558
100104,กรุงเทพมหานคร,เขต พระนคร,แขวง สำราญราษฎร์,13.751,100.503,3525,45571.7,44711.36453888586,2558
100105,กรุงเทพมหานคร,เขต พระนคร,แขวง ศาลเจ้าพ่อเสือ,13.754,100.497,3364,45571.7,44711.36453888586,2558
100106,กรุงเทพมหานคร,เขต พระนคร,แขวง เสาชิงช้า,13.753,100.5,2455,45571.7,44711.36453888586,2558
100107,กรุงเทพมหานคร,เขต พระนคร,แขวง บวรนิเวศ,13.757,100.501,5291,45571.7,44711.36453888586,2558
100108,กรุงเทพมหานคร,เขต พระนคร,แขวง ตลาดยอด,13.76,100.498,2687,45571.7,44711.36453888586,2558
100109,กรุงเทพมหานคร,เขต พระนคร,แขวง ชนะสงคราม,13.762,100.495,2079,45571.7,44711.36453888586,2558
100110,กรุงเทพมหานคร,เขต พระนคร,แขวง บ้านพานถม,13.762,100.503,7130,45571.7,44711.36453888586,2558
100111,กรุงเทพมหานคร,เขต พระนคร,แขวง บางขุนพรหม,13.765,100.505,4864,45571.7,44711.36453888586,2558
100112,กรุงเทพมหานคร,เขต พระนคร,แขวง วัดสามพระยา,13.768,100.499,3062,45571.7,44711.36453888586,2558
100201,กรุงเทพมหานคร,เขต ดุสิต,แขวง ดุสิต,13.772,100.513,14679,45571.7,44711.36453888586,2558
100202,กรุงเทพมหานคร,เขต ดุสิต,แขวง วชิรพยาบาล,13.778,100.505,11873,45571.7,44711.36453888586,2558
100203,กรุงเทพมหานคร,เขต ดุสิต,แขวง สวนจิตรลดา,13.767,100.52,9743,45571.7,44711.36453888586,2558
100204,กรุงเทพมหานคร,เขต ดุสิต,แขวง สี่แยกมหานาค,13.758,100.517,7821,45571.7,44711.36453888586,2558
100206,กรุงเทพมหานคร,เขต ดุสิต,แขวง ถนนนครไชยศรี,13.789,100.522,57460,45571.7,44711.36453888586,2558
100301,กรุงเทพมหานคร,เขต หนองจอก,แขวง กระทุ่มราย,13.823,100.897,36883,45571.7,44711.36453888586,2558
100302,กรุงเทพมหานคร,เขต หนองจอก,แขวง หนองจอก,13.869,100.885,20086,45571.7,44711.36453888586,2558
100303,กรุงเทพมหานคร,เขต หนองจอก,แขวง คลองสิบ,13.914,100.82,8772,45571.7,44711.36453888586,2558
100304,กรุงเทพมหานคร,เขต หนองจอก,แขวง คลองสิบสอง,13.914,100.88,10358,45571.7,44711.36453888586,2558
100305,กรุงเทพมหานคร,เขต หนองจอก,แขวง โคกแฝด,13.84,100.836,33245,45571.7,44711.36453888586,2558
100306,กรุงเทพมหานคร,เขต หนองจอก,แขวง คู้ฝั่งเหนือ,13.872,100.81,17291,45571.7,44711.36453888586,2558
100307,กรุงเทพมหานคร,เขต หนองจอก,แขวง ลำผักชี,13.797,100.844,29410,45571.7,44711.36453888586,2558
100308,กรุงเทพมหานคร,เขต หนองจอก,แขวง ลำต้อยติ่ง,13.781,100.877,9236,45571.7,44711.36453888586,2558
100401,กรุงเทพมหานคร,เขต บางรัก,แขวง มหาพฤฒาราม,13.734,100.52,12194,45571.7,44711.36453888586,2558
100402,กรุงเทพมหานคร,เขต บางรัก,แขวง สีลม,13.73,100.525,15086,45571.7,44711.36453888586,2558
100403,กรุงเทพมหานคร,เขต บางรัก,แขวง สุริยวงศ์,13.724,100.53,5331,45571.7,44711.36453888586,2558
100404,กรุงเทพมหานคร,เขต บางรัก,แขวง บางรัก,13.727,100.527,3014,45571.7,44711.36453888586,2558
