Join_ID,Province,Amphoe,Tambon,lat,lon,Total_Pop,Avg_Income,Avg_Land_Price,Year,Base_Land_Price_Prov
100101,กรุงเทพมหานคร,เขต พระนคร,แขวง พระบรมมหาราชวัง,13.751,100.492,4271,45571.7,20671.0,2558,32000.0
100102,กรุงเทพมหานคร,เขต พระนคร,แขวง วังบูรพาภิรมย์,13.744,100.499,11677,45571.7,27951.0,2558,32000.0
100103,กรุงเทพมหานคร,เขต พระนคร,แขวง วัดราชบพิธ,13.75,100.499,3494,45571.7,19462.0,2558,32000.0
100104,กรุงเทพมหานคร,เขต พระนคร,แขวง สำราญราษฎร์,13.751,100.503,3525,45571.7,19514.0,2558,32000.0
100105,กรุงเทพมหานคร,เขต พระนคร,แขวง ศาลเจ้าพ่อเสือ,13.754,100.497,3364,45571.7,19242.0,2558,32000.0
100106,กรุงเทพมหานคร,เขต พระนคร,แขวง เสาชิงช้า,13.753,100.5,2455,45571.7,17507.0,2558,32000.0
100107,กรุงเทพมหานคร,เขต พระนคร,แขวง บวรนิเวศ,13.757,100.501,5291,45571.7,22042.0,2558,32000.0
100108,กรุงเทพมหานคร,เขต พระนคร,แขวง ตลาดยอด,13.76,100.498,2687,45571.7,17988.0,2558,32000.0
100109,กรุงเทพมหานคร,เขต พระนคร,แขวง ชนะสงคราม,13.762,100.495,2079,45571.7,16655.0,2558,32000.0
100110,กรุงเทพมหานคร,เขต พระนคร,แขวง บ้านพานถม,13.762,100.503,7130,45571.7,24106.0,2558,32000.0
100111,กรุงเทพมหานคร,เขต พระนคร,แขวง บางขุนพรหม,13.765,100.505,4864,45571.7,21493.0,2558,32000.0
100112,กรุงเทพมหานคร,เขต พระนคร,แขวง วัดสามพระยา,13.768,100.499,3062,45571.7,18707.0,2558,32000.0
100201,กรุงเทพมหานคร,เขต ดุสิต,แขวง ดุสิต,13.772,100.513,14679,45571.7,29937.0,2558,32000.0
100202,กรุงเทพมหานคร,เขต ดุสิต,แขวง วชิรพยาบาล,13.778,100.505,11873,45571.7,28091.0,2558,32000.0
100203,กรุงเทพมหานคร,เขต ดุสิต,แขวง สวนจิตรลดา,13.767,100.52,9743,45571.7,26473.0,2558,32000.0
100204,กรุงเทพมหานคร,เขต ดุสิต,แขวง สี่แยกมหานาค,13.758,100.517,7821,45571.7,24784.0,2558,32000.0
100206,กรุงเทพมหานคร,เขต ดุสิต,แขวง ถนนนครไชยศรี,13.789,100.522,57460,45571.7,45082.0,2558,32000.0
100301,กรุงเทพมหานคร,เขต หนองจอก,แขวง กระทุ่มราย,13.823,100.897,36883,45571.7,39468.0,2558,32000.0
100302,กรุงเทพมหานคร,เขต หนองจอก,แขวง หนองจอก,13.869,100.885,20086,45571.7,32890.0,2558,32000.0
100303,กรุงเทพมหานคร,เขต หนองจอก,แขวง คลองสิบ,13.914,100.82,8772,45571.7,25652.0,2558,32000.0
100304,กรุงเทพมหานคร,เขต หนองจอก,แขวง คลองสิบสอง,13.914,100.88,10358,45571.7,26964.0,2558,32000.0
100305,กรุงเทพมหานคร,เขต หนองจอก,แขวง โคกแฝด,13.84,100.836,33245,45571.7,38257.0,2558,32000.0
100306,กรุงเทพมหานคร,เขต หนองจอก,แขวง คู้ฝั่งเหนือ,13.872,100.81,17291,45571.7,31444.0,2558,32000.0
100307,กรุงเทพมหานคร,เขต หนองจอก,แขวง ลำผักชี,13.797,100.844,29410,45571.7,36876.0,2558,32000.0
100308,กรุงเทพมหานคร,เขต หนองจอก,แขวง ลำต้อยติ่ง,13.781,100.877,9236,45571.7,26052.0,2558,32000.0
100401,กรุงเทพมหานคร,เขต บางรัก,แขวง มหาพฤฒาราม,13.734,100.52,12194,45571.7,28316.0,2558,32000.0
100402,กรุงเทพมหานคร,เขต บางรัก,แขวง สีลม,13.73,100.525,15086,45571.7,30183.0,2558,32000.0
100403,กรุงเทพมหานคร,เขต บางรัก,แขวง สุริยวงศ์,13.724,100.53,5331,45571.7,22092.0,2558,32000.0
100404,กรุงเทพมหานคร,เขต บางรัก,แขวง บางรัก,13.727,100.527,3014,45571.7,18618.0,2558,32000.0
100405,กรุงเทพมหานคร,เขต บางรัก,แขวง สี่พระยา,13.725,100.514,11152,45571.7,27568.0,2558,32000.0
100502,กรุงเทพมหานคร,เขต บางเขน,แขวง อนุสาวรีย์,13.868,100.606,96446,45571.7,52660.0,2558,32000.0
100508,กรุงเทพมหานคร,เขต บางเขน,แขวง ท่าแร้ง,13.866,100.65,94037,45571.7,52262.0,2558,32000.0
100601,กรุงเทพมหานคร,เขต บางกะปิ,แขวง คลองจั่น,13.786,100.635,81011,45571.7,49975.0,2558,32000.0
100608,กรุงเทพมหานคร,เขต บางกะปิ,แขวง หัวหมาก,13.756,100.66,68091,45571.7,47437.0,2558,32000.0
100701,กรุงเทพมหานคร,เขต ปทุมวัน,แขวง รองเมือง,13.744,100.52,18096,45571.7,31876.0,2558,32000.0
100702,กรุงเทพมหานคร,เขต ปทุมวัน,แขวง วังใหม่,13.742,100.526,7843,45571.7,24805.0,2558,32000.0
100703,กรุงเทพมหานคร,เขต ปทุมวัน,แขวง ปทุมวัน,13.74,100.535,6180,45571.7,23094.0,2558,32000.0
100704,กรุงเทพมหานคร,เขต ปทุมวัน,แขวง ลุมพินี,13.736,100.546,18554,45571.7,32116.0,2558,32000.0
100801,กรุงเทพมหานคร,เขต ป้อมปราบศัตรูพ่าย,แขวง ป้อมปราบ,13.743,100.514,16291,45571.7,30887.0,2558,32000.0
100802,กรุงเทพมหานคร,เขต ป้อมปราบศัตรูพ่าย,แขวง วัดเทพศิรินทร์,13.749,100.512,7493,45571.7,24468.0,2558,32000.0
100803,กรุงเทพมหานคร,เขต ป้อมปราบศัตรูพ่าย,แขวง คลองมหานาค,13.753,100.513,9979,45571.7,26664.0,2558,32000.0
100804,กรุงเทพมหานคร,เขต ป้อมปราบศัตรูพ่าย,แขวง บ้านบาตร,13.752,100.507,7410,45571.7,24386.0,2558,32000.0
100805,กรุงเทพมหานคร,เขต ป้อมปราบศัตรูพ่าย,แขวง วัดโสมนัส,13.759,100.511,7412,45571.7,24388.0,2558,32000.0
100905,กรุงเทพมหานคร,เขต พระโขนง,แขวง บางจาก,13.692,100.626,92197,45571.7,51953.0,2558,32000.0
101001,กรุงเทพมหานคร,เขต มีนบุรี,แขวง มีนบุรี,13.804,100.723,96783,45571.7,52715.0,2558,32000.0
101002,กรุงเทพมหานคร,เขต มีนบุรี,แขวง แสนแสบ,13.812,100.774,43919,45571.7,41590.0,2558,32000.0
101101,กรุงเทพมหานคร,เขต ลาดกระบัง,แขวง ลาดกระบัง,13.723,100.771,29717,45571.7,36991.0,2558,32000.0
101102,กรุงเทพมหานคร,เขต ลาดกระบัง,แขวง คลองสองต้นนุ่น,13.753,100.723,66490,45571.7,47100.0,2558,32000.0
101103,กรุงเทพมหานคร,เขต ลาดกระบัง,แขวง คลองสามประเวศ,13.753,100.754,15278,45571.7,30298.0,2558,32000.0
101104,กรุงเทพมหานคร,เขต ลาดกระบัง,แขวง ลำปลาทิว,13.765,100.817,23033,45571.7,34269.0,2558,32000.0
101105,กรุงเทพมหานคร,เขต ลาดกระบัง,แขวง ทับยาว,13.728,100.815,27687,45571.7,36214.0,2558,32000.0
101106,กรุงเทพมหานคร,เขต ลาดกระบัง,แขวง ขุมทอง,13.736,100.855,7865,45571.7,24826.0,2558,32000.0
101203,กรุงเทพมหานคร,เขต ยานนาวา,แขวง ช่องนนทรี,13.682,100.533,49247,45571.7,43043.0,2558,32000.0
101204,กรุงเทพมหานคร,เขต ยานนาวา,แขวง บางโพงพาง,13.697,100.544,30964,45571.7,37450.0,2558,32000.0
101301,กรุงเทพมหานคร,เขต สัมพันธวงศ์,แขวง จักรวรรดิ,13.741,100.504,7889,45571.7,24849.0,2558,32000.0
101302,กรุงเทพมหานคร,เขต สัมพันธวงศ์,แขวง สัมพันธวงศ์,13.739,100.511,9669,45571.7,26412.0,2558,32000.0
101303,กรุงเทพมหานคร,เขต สัมพันธวงศ์,แขวง ตลาดน้อย,13.734,100.513,8136,45571.7,25079.0,2558,32000.0
101401,กรุงเทพมหานคร,เขต พญาไท,แขวง สามเสนใน,13.782,100.545,71864,45571.7,48211.0,2558,32000.0
101501,กรุงเทพมหานคร,เขต ธนบุรี,แขวง วัดกัลยาณ์,13.737,100.493,9694,45571.7,26433.0,2558,32000.0
101502,กรุงเทพมหานคร,เขต ธนบุรี,แขวง หิรัญรูจี,13.731,100.49,12914,45571.7,28808.0,2558,32000.0
101503,กรุงเทพมหานคร,เขต ธนบุรี,แขวง บางยี่เรือ,13.72,100.482,22414,45571.7,33990.0,2558,32000.0
101504,กรุงเทพมหานคร,เขต ธนบุรี,แขวง บุคคโล,13.707,100.486,17245,45571.7,31419.0,2558,32000.0
101505,กรุงเทพมหานคร,เขต ธนบุรี,แขวง ตลาดพลู,13.715,100.473,16933,45571.7,31247.0,2558,32000.0
101601,กรุงเทพมหานคร,เขต บางกอกใหญ่,แขวง วัดอรุณ,13.743,100.486,14399,45571.7,29764.0,2558,32000.0
101602,กรุงเทพมหานคร,เขต บางกอกใหญ่,แขวง วัดท่าพระ,13.733,100.475,54950,45571.7,44482.0,2558,32000.0
101701,กรุงเทพมหานคร,เขต ห้วยขวาง,แขวง ห้วยขวาง,13.769,100.577,24587,45571.7,34947.0,2558,32000.0
101702,กรุงเทพมหานคร,เขต ห้วยขวาง,แขวง บางกะปิ,13.752,100.586,17108,45571.7,31344.0,2558,32000.0
101704,กรุงเทพมหานคร,เขต ห้วยขวาง,แขวง สามเสนนอก,13.796,100.579,39040,45571.7,40146.0,2558,32000.0
101801,กรุงเทพมหานคร,เขต คลองสาน,แขวง สมเด็จเจ้าพระยา,13.731,100.497,14114,45571.7,29586.0,2558,32000.0
101802,กรุงเทพมหานคร,เขต คลองสาน,แขวง คลองสาน,13.735,100.504,15895,45571.7,30660.0,2558,32000.0
101803,กรุงเทพมหานคร,เขต คลองสาน,แขวง บางลำภูล่าง,13.715,100.501,25580,45571.7,35364.0,2558,32000.0
101804,กรุงเทพมหานคร,เขต คลองสาน,แขวง คลองต้นไทร,13.725,100.508,19207,45571.7,32451.0,2558,32000.0
101901,กรุงเทพมหานคร,เขต ตลิ่งชัน,แขวง คลองชักพระ,13.76,100.456,10838,45571.7,27332.0,2558,32000.0
101902,กรุงเทพมหานคร,เขต ตลิ่งชัน,แขวง ตลิ่งชัน,13.789,100.459,25347,45571.7,35267.0,2558,32000.0
101903,กรุงเทพมหานคร,เขต ตลิ่งชัน,แขวง ฉิมพลี,13.786,100.432,24566,45571.7,34938.0,2558,32000.0
101904,กรุงเทพมหานคร,เขต ตลิ่งชัน,แขวง บางพรม,13.752,100.442,13902,45571.7,29452.0,2558,32000.0
101905,กรุงเทพมหานคร,เขต ตลิ่งชัน,แขวง บางระมาด,13.767,100.431,19355,45571.7,32526.0,2558,32000.0
101907,กรุงเทพมหานคร,เขต ตลิ่งชัน,แขวง บางเชือกหนัง,13.751,100.419,11605,45571.7,27899.0,2558,32000.0
102004,กรุงเทพมหานคร,เขต บางกอกน้อย,แขวง ศิริราช,13.759,100.481,17129,45571.7,31355.0,2558,32000.0
102005,กรุงเทพมหานคร,เขต บางกอกน้อย,แขวง บ้านช่างหล่อ,13.752,100.477,33575,45571.7,38371.0,2558,32000.0
102006,กรุงเทพมหานคร,เขต บางกอกน้อย,แขวง บางขุนนนท์,13.774,100.466,9651,45571.7,26398.0,2558,32000.0
102007,กรุงเทพมหานคร,เขต บางกอกน้อย,แขวง บางขุนศรี,13.76,100.463,33777,45571.7,38440.0,2558,32000.0
102009,กรุงเทพมหานคร,เขต บางกอกน้อย,แขวง อรุณอมรินทร์,13.772,100.477,21070,45571.7,33365.0,2558,32000.0
102105,กรุงเทพมหานคร,เขต บางขุนเทียน,แขวง ท่าข้าม,13.555,100.434,55831,45571.7,44695.0,2558,32000.0
102107,กรุงเทพมหานคร,เขต บางขุนเทียน,แขวง แสมดำ,13.605,100.395,120893,45571.7,56353.0,2558,32000.0
102201,กรุงเทพมหานคร,เขต ภาษีเจริญ,แขวง บางหว้า,13.714,100.443,38099,45571.7,39854.0,2558,32000.0
102202,กรุงเทพมหานคร,เขต ภาษีเจริญ,แขวง บางด้วน,13.723,100.437,29824,45571.7,37031.0,2558,32000.0
102206,กรุงเทพมหานคร,เขต ภาษีเจริญ,แขวง บางจาก,13.727,100.45,8219,45571.7,25156.0,2558,32000.0
102207,กรุงเทพมหานคร,เขต ภาษีเจริญ,แขวง บางแวก,13.736,100.445,18982,45571.7,32337.0,2558,32000.0
102208,กรุงเทพมหานคร,เขต ภาษีเจริญ,แขวง คลองขวาง,13.738,100.423,11251,45571.7,27641.0,2558,32000.0
102209,กรุงเทพมหานคร,เขต ภาษีเจริญ,แขวง ปากคลองภาษีเจริญ,13.722,100.464,15431,45571.7,30389.0,2558,32000.0
102210,กรุงเทพมหานคร,เขต ภาษีเจริญ,แขวง คูหาสวรรค์,13.727,100.457,6655,45571.7,23612.0,2558,32000.0
102302,กรุงเทพมหานคร,เขต หนองแขม,แขวง หนองแขม,13.68,100.358,77929,45571.7,49397.0,2558,32000.0
102303,กรุงเทพมหานคร,เขต หนองแขม,แขวง หนองค้างพลู,13.714,100.351,76460,45571.7,49116.0,2558,32000.0
102401,กรุงเทพมหานคร,เขต ราษฎร์บูรณะ,แขวง ราษฎร์บูรณะ,13.67,100.51,33794,45571.7,38445.0,2558,32000.0
102402,กรุงเทพมหานคร,เขต ราษฎร์บูรณะ,แขวง บางปะกอก,13.675,100.491,50363,45571.7,43334.0,2558,32000.0
102501,กรุงเทพมหานคร,เขต บางพลัด,แขวง บางพลัด,13.791,100.487,24681,45571.7,34987.0,2558,32000.0
102502,กรุงเทพมหานคร,เขต บางพลัด,แขวง บางอ้อ,13.802,100.512,25659,45571.7,35397.0,2558,32000.0
102503,กรุงเทพมหานคร,เขต บางพลัด,แขวง บางบำหรุ,13.781,100.482,19200,45571.7,32448.0,2558,32000.0
102504,กรุงเทพมหานคร,เขต บางพลัด,แขวง บางยี่ขัน,13.774,100.492,25938,45571.7,35512.0,2558,32000.0
102601,กรุงเทพมหานคร,เขต ดินแดง,แขวง ดินแดง,13.778,100.567,125964,45571.7,57052.0,2558,32000.0
102701,กรุงเทพมหานคร,เขต บึงกุ่ม,แขวง คลองกุ่ม,13.808,100.65,69435,45571.7,47716.0,2558,32000.0
102801,กรุงเทพมหานคร,เขต สาทร,แขวง ทุ่งวัดดอน,13.71,100.532,40292,45571.7,40528.0,2558,32000.0
102802,กรุงเทพมหานคร,เขต สาทร,แขวง ยานนาวา,13.714,100.514,21521,45571.7,33578.0,2558,32000.0
102803,กรุงเทพมหานคร,เขต สาทร,แขวง ทุ่งมหาเมฆ,13.718,100.541,19932,45571.7,32814.0,2558,32000.0
102901,กรุงเทพมหานคร,เขต บางซื่อ,แขวง บางซื่อ,13.82,100.529,83010,45571.7,50342.0,2558,32000.0
103001,กรุงเทพมหานคร,เขต จตุจักร,แขวง ลาดยาว,13.826,100.565,44518,45571.7,41759.0,2558,32000.0
103101,กรุงเทพมหานคร,เขต บางคอแหลม,แขวง บางคอแหลม,13.696,100.494,25598,45571.7,35372.0,2558,32000.0
103102,กรุงเทพมหานคร,เขต บางคอแหลม,แขวง วัดพระยาไกร,13.706,100.508,27553,45571.7,36161.0,2558,32000.0
103103,กรุงเทพมหานคร,เขต บางคอแหลม,แขวง บางโคล่,13.694,100.516,38254,45571.7,39902.0,2558,32000.0
103201,กรุงเทพมหานคร,เขต ประเวศ,แขวง ประเวศ,13.719,100.664,80882,45571.7,49952.0,2558,32000.0
103202,กรุงเทพมหานคร,เขต ประเวศ,แขวง หนองบอน,13.687,100.656,42962,45571.7,41316.0,2558,32000.0
103203,กรุงเทพมหานคร,เขต ประเวศ,แขวง ดอกไม้,13.68,100.689,45368,45571.7,41997.0,2558,32000.0
103301,กรุงเทพมหานคร,เขต คลองเตย,แขวง คลองเตย,13.71,100.57,70599,45571.7,47955.0,2558,32000.0
103302,กรุงเทพมหานคร,เขต คลองเตย,แขวง คลองตัน,13.723,100.571,11524,45571.7,27840.0,2558,32000.0
103303,กรุงเทพมหานคร,เขต คลองเตย,แขวง พระโขนง,13.707,100.595,24110,45571.7,34742.0,2558,32000.0
103401,กรุงเทพมหานคร,เขต สวนหลวง,แขวง สวนหลวง,13.726,100.628,120136,45571.7,56247.0,2558,32000.0
103501,กรุงเทพมหานคร,เขต จอมทอง,แขวง บางขุนเทียน,13.694,100.45,38179,45571.7,39879.0,2558,32000.0
103502,กรุงเทพมหานคร,เขต จอมทอง,แขวง บางค้อ,13.702,100.476,35655,45571.7,39069.0,2558,32000.0
103503,กรุงเทพมหานคร,เขต จอมทอง,แขวง บางมด,13.672,100.468,45061,45571.7,41912.0,2558,32000.0
103504,กรุงเทพมหานคร,เขต จอมทอง,แขวง จอมทอง,13.693,100.468,36153,45571.7,39232.0,2558,32000.0
103602,กรุงเทพมหานคร,เขต ดอนเมือง,แขวง สีกัน,13.925,100.593,62240,45571.7,46176.0,2558,32000.0
103701,กรุงเทพมหานคร,เขต ราชเทวี,แขวง ทุ่งพญาไท,13.763,100.53,32117,45571.7,37863.0,2558,32000.0
103702,กรุงเทพมหานคร,เขต ราชเทวี,แขวง ถนนพญาไท,13.757,100.538,9152,45571.7,25981.0,2558,32000.0
103703,กรุงเทพมหานคร,เขต ราชเทวี,แขวง ถนนเพชรบุรี,13.752,100.559,15157,45571.7,30226.0,2558,32000.0
103704,กรุงเทพมหานคร,เขต ราชเทวี,แขวง มักกะสัน,13.752,100.528,17171,45571.7,31379.0,2558,32000.0
